species,prefix,scope,status,evidence,notes
Ardea cinerea,Arci,exact,external_database,https://rest.uniprot.org/uniprotkb/E2J690;https://rest.uniprot.org/uniprotkb/E2J691;https://rest.uniprot.org/uniprotkb/E2J692,attested in the retained source label for E2J690;E2J691;E2J692
Ardeola bacchus,Arba,exact,external_database,https://rest.uniprot.org/uniprotkb/E2J694;https://rest.uniprot.org/uniprotkb/E2J695;https://rest.uniprot.org/uniprotkb/E2J6B8,attested in the retained source label for E2J694;E2J695;E2J6B8
Asio flammeus,Asfl,exact,external_database,https://rest.uniprot.org/uniprotkb/B3F8W2;https://rest.uniprot.org/uniprotkb/B3F8W3,attested in the retained source label for B3F8W2;B3F8W3
Asio otus,Asot,exact,external_database,https://rest.uniprot.org/uniprotkb/A9LDQ6;https://rest.uniprot.org/uniprotkb/B3F8T6;https://rest.uniprot.org/uniprotkb/B3F8T7,attested in the retained source label for A9LDQ6;B3F8T6;B3F8T7
Astur gentilis,Acge,exact,external_database,https://rest.uniprot.org/uniprotkb/A9LDM6,attested in the retained source label for A9LDM6
Ateles belzebuth,Atbe,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Non-Human Primates; taxon=9507; designation=Atbe
Ateles fusciceps,Atfu,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Non-Human Primates; taxon=9508; designation=Atfu
Athene noctua,Atno,exact,external_database,https://rest.uniprot.org/uniprotkb/A9LDQ7;https://rest.uniprot.org/uniprotkb/B3F8V9;https://rest.uniprot.org/uniprotkb/B3F8W0,attested in the retained source label for A9LDQ7;B3F8V9;B3F8W0
Balaenoptera acutorostrata,Baac,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Cetacea; taxon=9767; designation=Baac(Baac)
Balaenoptera edeni,Baed,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Cetacea; taxon=9769; designation=Baed(Baed)
Balaenoptera musculus,Bamu,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Cetacea; taxon=9771; designation=Bamu
Balaenoptera musculus brevicauda,Bamu,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Cetacea; taxon=3108004; designation=Bamubr(Bamu)
Balaenoptera musculus brevicauda,Bamubr,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Cetacea; taxon=3108004; designation=Bamubr(Bamu)
Balaenoptera ricei,Bari,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Cetacea; taxon=2746895; designation=Bari(Bari)
Balearica pavonina,Bapa,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A0P0UVQ5;https://rest.uniprot.org/uniprotkb/A0A0P0UVZ7;https://rest.uniprot.org/uniprotkb/A0A0P0UW34,attested in the retained source label for A0A0P0UVQ5;A0A0P0UVZ7;A0A0P0UW34
Balearica regulorum,Bare,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A0N7KC09;https://rest.uniprot.org/uniprotkb/A0A0P0UW21;https://rest.uniprot.org/uniprotkb/A0A0P0UW25,attested in the retained source label for A0A0N7KC09;A0A0P0UW21;A0A0P0UW25
Bos,BoLA,genus,formal_system,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,
Bos,BL-A,genus,literature_historical,https://pubmed.ncbi.nlm.nih.gov/2329006/,
Bos frontalis,Bofr,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Bovines; taxon=30520; designation=Bofr
Bos grunniens,Bogr,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Bovines; taxon=30521; designation=Bogr
Bos sp.,BoLA,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Bovines; taxon=29061; designation=BoLA
Brachyramphus marmoratus,Brma,exact,external_database,https://rest.uniprot.org/uniprotkb/N0A1U8;https://rest.uniprot.org/uniprotkb/N0A1V3;https://rest.uniprot.org/uniprotkb/N0A1V6,attested in the retained source label for N0A1U8;N0A1V3;N0A1V6
Bubalus bubalis,Bubu,exact,ipd_current,https://www.ebi.ac.uk/ipd/mhc/taxonomy/,IPD group=Bovines; taxon=89462; designation=Bubu
Bubo africanus,Buaf,exact,external_database,https://rest.uniprot.org/uniprotkb/B3F8V6;https://rest.uniprot.org/uniprotkb/B3F8V7;https://rest.uniprot.org/uniprotkb/B3F8V8,attested in the retained source label for B3F8V6;B3F8V7;B3F8V8
Bubo blakistoni,Bubl,exact,external_database,https://rest.uniprot.org/uniprotkb/A0A223ZXQ0;https://rest.uniprot.org/uniprotkb/A0A224A979;https://rest.uniprot.org/uniprotkb/A0A224A9H9,attested in the retained source label for A0A223ZXQ0;A0A224A979;A0A224A9H9
Bubo bubo,Bubbu,exact,external_database,https://rest.uniprot.org/uniprotkb/A9LDQ3,attested in the retained source label for A9LDQ3
Bubo bubo,Bubu,exact,external_database,https://rest.uniprot.org/uniprotkb/B3F8U8;https://rest.uniprot.org/uniprotkb/B3F8U9;https://rest.uniprot.org/uniprotkb/B3F8V0,attested in the retained source label for B3F8U8;B3F8U9;B3F8V0
Bubo scandiacus,Busc,exact,external_database,https://rest.uniprot.org/uniprotkb/B3F8U6;https://rest.uniprot.org/uniprotkb/B3F8U7,attested in the retained source label for B3F8U6;B3F8U7
