taxon_id,organism,taxonomy_name,source_clade,source_clade_taxon_id,species_category,category_basis_taxon_id,taxonomy_release,source_url,audited_on
61622,Rhinopithecus roxellana,Rhinopithecus roxellana,Mammalia,40674,nhp,9443,2026_03,https://rest.uniprot.org/taxonomy/61622,2026-09-03
61853,Nomascus leucogenys,Nomascus leucogenys,Mammalia,40674,nhp,9443,2026_03,https://rest.uniprot.org/taxonomy/61853,2026-09-03
62061,Acipenser dabryanus,Acipenser dabryanus,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/62061,2026-09-03
64176,Podarcis muralis,Podarcis muralis,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/64176,2026-09-03
68415,Moschus moschiferus,Moschus moschiferus,Mammalia,40674,other_mammal,40674,2026_03,https://rest.uniprot.org/taxonomy/68415,2026-09-03
71023,Ctenophorus decresii,Ctenophorus decresii,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/71023,2026-09-03
74358,Podarcis lilfordi,Podarcis lilfordi,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/74358,2026-09-03
74533,Panthera tigris altaica,Panthera tigris altaica,Mammalia,40674,carnivore,9681,2026_03,https://rest.uniprot.org/taxonomy/74533,2026-09-03
75038,Scatophagus argus,Scatophagus argus,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/75038,2026-09-03
75366,Sinocyclocheilus grahami,Sinocyclocheilus grahami,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/75366,2026-09-03
75743,Scyliorhinus torazame,Scyliorhinus torazame,Chondrichthyes,7777,fish,7777,2026_03,https://rest.uniprot.org/taxonomy/75743,2026-09-03
75864,Anas zonorhyncha,Anas zonorhyncha,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/75864,2026-09-03
76066,Engystomops pustulosus,Engystomops pustulosus,Amphibia,8292,other_vertebrate,8292,2026_03,https://rest.uniprot.org/taxonomy/76066,2026-09-03
79016,Rana ornativentris,Rana ornativentris,Amphibia,8292,other_vertebrate,8292,2026_03,https://rest.uniprot.org/taxonomy/79016,2026-09-03
84645,Labeo rohita,Labeo rohita,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/84645,2026-09-03
87175,Geospiza parvula,Geospiza parvula,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/87175,2026-09-03
89951,Merluccius polli,Merluccius polli,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/89951,2026-09-03
91951,Catharus ustulatus,Catharus ustulatus,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/91951,2026-09-03
93934,Coturnix japonica,Coturnix japonica,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/93934,2026-09-03
94827,Tinamus guttatus,Tinamus guttatus,Aves,8782,bird,8782,2026_03,https://rest.uniprot.org/taxonomy/94827,2026-09-03
94885,Pantherophis guttatus,Pantherophis guttatus,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/94885,2026-09-03
96440,Salvator merianae,Salvator merianae,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/96440,2026-09-03
100907,Dissostichus eleginoides,Dissostichus eleginoides,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/100907,2026-09-03
103695,Pogona vitticeps,Pogona vitticeps,Lepidosauria,8504,other_vertebrate,8504,2026_03,https://rest.uniprot.org/taxonomy/103695,2026-09-03
109280,Hippocampus comes,Hippocampus comes,Actinopterygii,7898,fish,7898,2026_03,https://rest.uniprot.org/taxonomy/109280,2026-09-03
109965,Quasipaa spinosa,Quasipaa spinosa,Amphibia,8292,other_vertebrate,8292,2026_03,https://rest.uniprot.org/taxonomy/109965,2026-09-03
